Original Name,User-Friendly Name,Table
seed_a_utility_from_holding_tokens,Seed A Utility From Holding Tokens,simulation_data
seed_a_holding_from_holding_tokens,Seed A Holding From Holding Tokens,simulation_data
seed_a_actions,Seed A Actions,simulation_data
seed_a_current_action,Seed A Current Action,simulation_data
presale_1_agents,Presale 1 Agents,simulation_data
presale_1_a_name,Presale 1 A Name,simulation_data
presale_1_a_type,Presale 1 A Type,simulation_data
presale_1_a_usd_funds,Presale 1 A Usd Funds,simulation_data
presale_1_a_tokens,Presale 1 A Tokens,simulation_data
presale_1_a_tokens_vested,Presale 1 A Tokens Vested,simulation_data
presale_1_a_tokens_vested_cum,Presale 1 A Tokens Vested Cum,simulation_data
presale_1_a_tokens_airdropped,Presale 1 A Tokens Airdropped,simulation_data
presale_1_a_tokens_airdropped_cum,Presale 1 A Tokens Airdropped Cum,simulation_data
presale_1_a_tokens_incentivised,Presale 1 A Tokens Incentivised,simulation_data
presale_1_a_tokens_incentivised_cum,Presale 1 A Tokens Incentivised Cum,simulation_data
presale_1_a_tokens_apr_locked,Presale 1 A Tokens Apr Locked,simulation_data
presale_1_a_tokens_apr_locked_cum,Presale 1 A Tokens Apr Locked Cum,simulation_data
presale_1_a_tokens_apr_locked_remove,Presale 1 A Tokens Apr Locked Remove,simulation_data
presale_1_a_tokens_apr_locked_rewards,Presale 1 A Tokens Apr Locked Rewards,simulation_data
presale_1_a_tokens_buyback_locked,Presale 1 A Tokens Buyback Locked,simulation_data
presale_1_a_tokens_buyback_locked_cum,Presale 1 A Tokens Buyback Locked Cum,simulation_data
presale_1_a_tokens_buyback_locked_remove,Presale 1 A Tokens Buyback Locked Remove,simulation_data
presale_1_a_tokens_buyback_locked_rewards,Presale 1 A Tokens Buyback Locked Rewards,simulation_data
presale_1_a_tokens_staking_vesting_locked,Presale 1 A Tokens Staking Vesting Locked,simulation_data
presale_1_a_tokens_staking_vesting_locked_cum,Presale 1 A Tokens Staking Vesting Locked Cum,simulation_data
presale_1_a_tokens_staking_vesting_locked_remove,Presale 1 A Tokens Staking Vesting Locked Remove,simulation_data
presale_1_a_tokens_staking_vesting_locked_rewards,Presale 1 A Tokens Staking Vesting Locked Rewards,simulation_data
presale_1_a_tokens_liquidity_mining,Presale 1 A Tokens Liquidity Mining,simulation_data
presale_1_a_tokens_liquidity_mining_cum,Presale 1 A Tokens Liquidity Mining Cum,simulation_data
presale_1_a_tokens_liquidity_mining_remove,Presale 1 A Tokens Liquidity Mining Remove,simulation_data
presale_1_a_tokens_liquidity_mining_rewards,Presale 1 A Tokens Liquidity Mining Rewards,simulation_data
presale_1_a_tokens_transferred,Presale 1 A Tokens Transferred,simulation_data
presale_1_a_tokens_transferred_cum,Presale 1 A Tokens Transferred Cum,simulation_data
presale_1_a_tokens_burned,Presale 1 A Tokens Burned,simulation_data
presale_1_a_tokens_burned_cum,Presale 1 A Tokens Burned Cum,simulation_data
presale_1_a_selling_tokens,Presale 1 A Selling Tokens,simulation_data
presale_1_a_utility_tokens,Presale 1 A Utility Tokens,simulation_data
presale_1_a_holding_tokens,Presale 1 A Holding Tokens,simulation_data
presale_1_a_selling_from_holding_tokens,Presale 1 A Selling From Holding Tokens,simulation_data
presale_1_a_utility_from_holding_tokens,Presale 1 A Utility From Holding Tokens,simulation_data
presale_1_a_holding_from_holding_tokens,Presale 1 A Holding From Holding Tokens,simulation_data
presale_1_a_actions,Presale 1 A Actions,simulation_data
presale_1_a_current_action,Presale 1 A Current Action,simulation_data
presale_2_agents,Presale 2 Agents,simulation_data
presale_2_a_name,Presale 2 A Name,simulation_data
presale_2_a_type,Presale 2 A Type,simulation_data
presale_2_a_usd_funds,Presale 2 A Usd Funds,simulation_data
presale_2_a_tokens,Presale 2 A Tokens,simulation_data
presale_2_a_tokens_vested,Presale 2 A Tokens Vested,simulation_data
presale_2_a_tokens_vested_cum,Presale 2 A Tokens Vested Cum,simulation_data
presale_2_a_tokens_airdropped,Presale 2 A Tokens Airdropped,simulation_data
presale_2_a_tokens_airdropped_cum,Presale 2 A Tokens Airdropped Cum,simulation_data
presale_2_a_tokens_incentivised,Presale 2 A Tokens Incentivised,simulation_data
presale_2_a_tokens_incentivised_cum,Presale 2 A Tokens Incentivised Cum,simulation_data
presale_2_a_tokens_apr_locked,Presale 2 A Tokens Apr Locked,simulation_data
presale_2_a_tokens_apr_locked_cum,Presale 2 A Tokens Apr Locked Cum,simulation_data
presale_2_a_tokens_apr_locked_remove,Presale 2 A Tokens Apr Locked Remove,simulation_data
presale_2_a_tokens_apr_locked_rewards,Presale 2 A Tokens Apr Locked Rewards,simulation_data
presale_2_a_tokens_buyback_locked,Presale 2 A Tokens Buyback Locked,simulation_data
presale_2_a_tokens_buyback_locked_cum,Presale 2 A Tokens Buyback Locked Cum,simulation_data
presale_2_a_tokens_buyback_locked_remove,Presale 2 A Tokens Buyback Locked Remove,simulation_data
presale_2_a_tokens_buyback_locked_rewards,Presale 2 A Tokens Buyback Locked Rewards,simulation_data
presale_2_a_tokens_staking_vesting_locked,Presale 2 A Tokens Staking Vesting Locked,simulation_data
presale_2_a_tokens_staking_vesting_locked_cum,Presale 2 A Tokens Staking Vesting Locked Cum,simulation_data
presale_2_a_tokens_staking_vesting_locked_remove,Presale 2 A Tokens Staking Vesting Locked Remove,simulation_data
presale_2_a_tokens_staking_vesting_locked_rewards,Presale 2 A Tokens Staking Vesting Locked Rewards,simulation_data
presale_2_a_tokens_liquidity_mining,Presale 2 A Tokens Liquidity Mining,simulation_data
presale_2_a_tokens_liquidity_mining_cum,Presale 2 A Tokens Liquidity Mining Cum,simulation_data
presale_2_a_tokens_liquidity_mining_remove,Presale 2 A Tokens Liquidity Mining Remove,simulation_data
presale_2_a_tokens_liquidity_mining_rewards,Presale 2 A Tokens Liquidity Mining Rewards,simulation_data
presale_2_a_tokens_transferred,Presale 2 A Tokens Transferred,simulation_data
presale_2_a_tokens_transferred_cum,Presale 2 A Tokens Transferred Cum,simulation_data
presale_2_a_tokens_burned,Presale 2 A Tokens Burned,simulation_data
presale_2_a_tokens_burned_cum,Presale 2 A Tokens Burned Cum,simulation_data
presale_2_a_selling_tokens,Presale 2 A Selling Tokens,simulation_data
presale_2_a_utility_tokens,Presale 2 A Utility Tokens,simulation_data
presale_2_a_holding_tokens,Presale 2 A Holding Tokens,simulation_data
presale_2_a_selling_from_holding_tokens,Presale 2 A Selling From Holding Tokens,simulation_data
presale_2_a_utility_from_holding_tokens,Presale 2 A Utility From Holding Tokens,simulation_data
presale_2_a_holding_from_holding_tokens,Presale 2 A Holding From Holding Tokens,simulation_data
presale_2_a_actions,Presale 2 A Actions,simulation_data
presale_2_a_current_action,Presale 2 A Current Action,simulation_data
public_sale_agents,Public Sale Agents,simulation_data
public_sale_a_name,Public Sale A Name,simulation_data
public_sale_a_type,Public Sale A Type,simulation_data
public_sale_a_usd_funds,Public Sale A Usd Funds,simulation_data
public_sale_a_tokens,Public Sale A Tokens,simulation_data
public_sale_a_tokens_vested,Public Sale A Tokens Vested,simulation_data
public_sale_a_tokens_vested_cum,Public Sale A Tokens Vested Cum,simulation_data
public_sale_a_tokens_airdropped,Public Sale A Tokens Airdropped,simulation_data
public_sale_a_tokens_airdropped_cum,Public Sale A Tokens Airdropped Cum,simulation_data
public_sale_a_tokens_incentivised,Public Sale A Tokens Incentivised,simulation_data
public_sale_a_tokens_incentivised_cum,Public Sale A Tokens Incentivised Cum,simulation_data
public_sale_a_tokens_apr_locked,Public Sale A Tokens Apr Locked,simulation_data
public_sale_a_tokens_apr_locked_cum,Public Sale A Tokens Apr Locked Cum,simulation_data
public_sale_a_tokens_apr_locked_remove,Public Sale A Tokens Apr Locked Remove,simulation_data
public_sale_a_tokens_apr_locked_rewards,Public Sale A Tokens Apr Locked Rewards,simulation_data
public_sale_a_tokens_buyback_locked,Public Sale A Tokens Buyback Locked,simulation_data
public_sale_a_tokens_buyback_locked_cum,Public Sale A Tokens Buyback Locked Cum,simulation_data
public_sale_a_tokens_buyback_locked_remove,Public Sale A Tokens Buyback Locked Remove,simulation_data
public_sale_a_tokens_buyback_locked_rewards,Public Sale A Tokens Buyback Locked Rewards,simulation_data
public_sale_a_tokens_staking_vesting_locked,Public Sale A Tokens Staking Vesting Locked,simulation_data
public_sale_a_tokens_staking_vesting_locked_cum,Public Sale A Tokens Staking Vesting Locked Cum,simulation_data
public_sale_a_tokens_staking_vesting_locked_remove,Public Sale A Tokens Staking Vesting Locked Remove,simulation_data
public_sale_a_tokens_staking_vesting_locked_rewards,Public Sale A Tokens Staking Vesting Locked Rewards,simulation_data
public_sale_a_tokens_liquidity_mining,Public Sale A Tokens Liquidity Mining,simulation_data
public_sale_a_tokens_liquidity_mining_cum,Public Sale A Tokens Liquidity Mining Cum,simulation_data
public_sale_a_tokens_liquidity_mining_remove,Public Sale A Tokens Liquidity Mining Remove,simulation_data
public_sale_a_tokens_liquidity_mining_rewards,Public Sale A Tokens Liquidity Mining Rewards,simulation_data
public_sale_a_tokens_transferred,Public Sale A Tokens Transferred,simulation_data
public_sale_a_tokens_transferred_cum,Public Sale A Tokens Transferred Cum,simulation_data
public_sale_a_tokens_burned,Public Sale A Tokens Burned,simulation_data
public_sale_a_tokens_burned_cum,Public Sale A Tokens Burned Cum,simulation_data
public_sale_a_selling_tokens,Public Sale A Selling Tokens,simulation_data
public_sale_a_utility_tokens,Public Sale A Utility Tokens,simulation_data
public_sale_a_holding_tokens,Public Sale A Holding Tokens,simulation_data
public_sale_a_selling_from_holding_tokens,Public Sale A Selling From Holding Tokens,simulation_data
public_sale_a_utility_from_holding_tokens,Public Sale A Utility From Holding Tokens,simulation_data
public_sale_a_holding_from_holding_tokens,Public Sale A Holding From Holding Tokens,simulation_data
public_sale_a_actions,Public Sale A Actions,simulation_data
public_sale_a_current_action,Public Sale A Current Action,simulation_data
team_agents,Team Agents,simulation_data
team_a_name,Team A Name,simulation_data
team_a_type,Team A Type,simulation_data
team_a_usd_funds,Team A Usd Funds,simulation_data
team_a_tokens,Team A Tokens,simulation_data
team_a_tokens_vested,Team A Tokens Vested,simulation_data
team_a_tokens_vested_cum,Team A Tokens Vested Cum,simulation_data
team_a_tokens_airdropped,Team A Tokens Airdropped,simulation_data
team_a_tokens_airdropped_cum,Team A Tokens Airdropped Cum,simulation_data
team_a_tokens_incentivised,Team A Tokens Incentivised,simulation_data
team_a_tokens_incentivised_cum,Team A Tokens Incentivised Cum,simulation_data
team_a_tokens_apr_locked,Team A Tokens Apr Locked,simulation_data
team_a_tokens_apr_locked_cum,Team A Tokens Apr Locked Cum,simulation_data
team_a_tokens_apr_locked_remove,Team A Tokens Apr Locked Remove,simulation_data
team_a_tokens_apr_locked_rewards,Team A Tokens Apr Locked Rewards,simulation_data
team_a_tokens_buyback_locked,Team A Tokens Buyback Locked,simulation_data
team_a_tokens_buyback_locked_cum,Team A Tokens Buyback Locked Cum,simulation_data
team_a_tokens_buyback_locked_remove,Team A Tokens Buyback Locked Remove,simulation_data
team_a_tokens_buyback_locked_rewards,Team A Tokens Buyback Locked Rewards,simulation_data
team_a_tokens_staking_vesting_locked,Team A Tokens Staking Vesting Locked,simulation_data
team_a_tokens_staking_vesting_locked_cum,Team A Tokens Staking Vesting Locked Cum,simulation_data
team_a_tokens_staking_vesting_locked_remove,Team A Tokens Staking Vesting Locked Remove,simulation_data
team_a_tokens_staking_vesting_locked_rewards,Team A Tokens Staking Vesting Locked Rewards,simulation_data
team_a_tokens_liquidity_mining,Team A Tokens Liquidity Mining,simulation_data
team_a_tokens_liquidity_mining_cum,Team A Tokens Liquidity Mining Cum,simulation_data
team_a_tokens_liquidity_mining_remove,Team A Tokens Liquidity Mining Remove,simulation_data
team_a_tokens_liquidity_mining_rewards,Team A Tokens Liquidity Mining Rewards,simulation_data
team_a_tokens_transferred,Team A Tokens Transferred,simulation_data
team_a_tokens_transferred_cum,Team A Tokens Transferred Cum,simulation_data
team_a_tokens_burned,Team A Tokens Burned,simulation_data
team_a_tokens_burned_cum,Team A Tokens Burned Cum,simulation_data
team_a_selling_tokens,Team A Selling Tokens,simulation_data
team_a_utility_tokens,Team A Utility Tokens,simulation_data
team_a_holding_tokens,Team A Holding Tokens,simulation_data
team_a_selling_from_holding_tokens,Team A Selling From Holding Tokens,simulation_data
team_a_utility_from_holding_tokens,Team A Utility From Holding Tokens,simulation_data
team_a_holding_from_holding_tokens,Team A Holding From Holding Tokens,simulation_data
team_a_actions,Team A Actions,simulation_data
team_a_current_action,Team A Current Action,simulation_data
ov_agents,Ov Agents,simulation_data
ov_a_name,Ov A Name,simulation_data
ov_a_type,Ov A Type,simulation_data
ov_a_usd_funds,Ov A Usd Funds,simulation_data
ov_a_tokens,Ov A Tokens,simulation_data
ov_a_tokens_vested,Ov A Tokens Vested,simulation_data
ov_a_tokens_vested_cum,Ov A Tokens Vested Cum,simulation_data
ov_a_tokens_airdropped,Ov A Tokens Airdropped,simulation_data
ov_a_tokens_airdropped_cum,Ov A Tokens Airdropped Cum,simulation_data
ov_a_tokens_incentivised,Ov A Tokens Incentivised,simulation_data
ov_a_tokens_incentivised_cum,Ov A Tokens Incentivised Cum,simulation_data
ov_a_tokens_apr_locked,Ov A Tokens Apr Locked,simulation_data
ov_a_tokens_apr_locked_cum,Ov A Tokens Apr Locked Cum,simulation_data
ov_a_tokens_apr_locked_remove,Ov A Tokens Apr Locked Remove,simulation_data
ov_a_tokens_apr_locked_rewards,Ov A Tokens Apr Locked Rewards,simulation_data
ov_a_tokens_buyback_locked,Ov A Tokens Buyback Locked,simulation_data
ov_a_tokens_buyback_locked_cum,Ov A Tokens Buyback Locked Cum,simulation_data
ov_a_tokens_buyback_locked_remove,Ov A Tokens Buyback Locked Remove,simulation_data
ov_a_tokens_buyback_locked_rewards,Ov A Tokens Buyback Locked Rewards,simulation_data
ov_a_tokens_staking_vesting_locked,Ov A Tokens Staking Vesting Locked,simulation_data
ov_a_tokens_staking_vesting_locked_cum,Ov A Tokens Staking Vesting Locked Cum,simulation_data
ov_a_tokens_staking_vesting_locked_remove,Ov A Tokens Staking Vesting Locked Remove,simulation_data
ov_a_tokens_staking_vesting_locked_rewards,Ov A Tokens Staking Vesting Locked Rewards,simulation_data
ov_a_tokens_liquidity_mining,Ov A Tokens Liquidity Mining,simulation_data
ov_a_tokens_liquidity_mining_cum,Ov A Tokens Liquidity Mining Cum,simulation_data
ov_a_tokens_liquidity_mining_remove,Ov A Tokens Liquidity Mining Remove,simulation_data
ov_a_tokens_liquidity_mining_rewards,Ov A Tokens Liquidity Mining Rewards,simulation_data
ov_a_tokens_transferred,Ov A Tokens Transferred,simulation_data
ov_a_tokens_transferred_cum,Ov A Tokens Transferred Cum,simulation_data
ov_a_tokens_burned,Ov A Tokens Burned,simulation_data
ov_a_tokens_burned_cum,Ov A Tokens Burned Cum,simulation_data
ov_a_selling_tokens,Ov A Selling Tokens,simulation_data
ov_a_utility_tokens,Ov A Utility Tokens,simulation_data
ov_a_holding_tokens,Ov A Holding Tokens,simulation_data
ov_a_selling_from_holding_tokens,Ov A Selling From Holding Tokens,simulation_data
ov_a_utility_from_holding_tokens,Ov A Utility From Holding Tokens,simulation_data
ov_a_holding_from_holding_tokens,Ov A Holding From Holding Tokens,simulation_data
ov_a_actions,Ov A Actions,simulation_data
ov_a_current_action,Ov A Current Action,simulation_data
advisor_agents,Advisor Agents,simulation_data
advisor_a_name,Advisor A Name,simulation_data
advisor_a_type,Advisor A Type,simulation_data
advisor_a_usd_funds,Advisor A Usd Funds,simulation_data
advisor_a_tokens,Advisor A Tokens,simulation_data
advisor_a_tokens_vested,Advisor A Tokens Vested,simulation_data
advisor_a_tokens_vested_cum,Advisor A Tokens Vested Cum,simulation_data
advisor_a_tokens_airdropped,Advisor A Tokens Airdropped,simulation_data
advisor_a_tokens_airdropped_cum,Advisor A Tokens Airdropped Cum,simulation_data
advisor_a_tokens_incentivised,Advisor A Tokens Incentivised,simulation_data
advisor_a_tokens_incentivised_cum,Advisor A Tokens Incentivised Cum,simulation_data
advisor_a_tokens_apr_locked,Advisor A Tokens Apr Locked,simulation_data
advisor_a_tokens_apr_locked_cum,Advisor A Tokens Apr Locked Cum,simulation_data
advisor_a_tokens_apr_locked_remove,Advisor A Tokens Apr Locked Remove,simulation_data
advisor_a_tokens_apr_locked_rewards,Advisor A Tokens Apr Locked Rewards,simulation_data
advisor_a_tokens_buyback_locked,Advisor A Tokens Buyback Locked,simulation_data
advisor_a_tokens_buyback_locked_cum,Advisor A Tokens Buyback Locked Cum,simulation_data
advisor_a_tokens_buyback_locked_remove,Advisor A Tokens Buyback Locked Remove,simulation_data
advisor_a_tokens_buyback_locked_rewards,Advisor A Tokens Buyback Locked Rewards,simulation_data
advisor_a_tokens_staking_vesting_locked,Advisor A Tokens Staking Vesting Locked,simulation_data
advisor_a_tokens_staking_vesting_locked_cum,Advisor A Tokens Staking Vesting Locked Cum,simulation_data
advisor_a_tokens_staking_vesting_locked_remove,Advisor A Tokens Staking Vesting Locked Remove,simulation_data
advisor_a_tokens_staking_vesting_locked_rewards,Advisor A Tokens Staking Vesting Locked Rewards,simulation_data
advisor_a_tokens_liquidity_mining,Advisor A Tokens Liquidity Mining,simulation_data
advisor_a_tokens_liquidity_mining_cum,Advisor A Tokens Liquidity Mining Cum,simulation_data
advisor_a_tokens_liquidity_mining_remove,Advisor A Tokens Liquidity Mining Remove,simulation_data
advisor_a_tokens_liquidity_mining_rewards,Advisor A Tokens Liquidity Mining Rewards,simulation_data
advisor_a_tokens_transferred,Advisor A Tokens Transferred,simulation_data
advisor_a_tokens_transferred_cum,Advisor A Tokens Transferred Cum,simulation_data
advisor_a_tokens_burned,Advisor A Tokens Burned,simulation_data
advisor_a_tokens_burned_cum,Advisor A Tokens Burned Cum,simulation_data
advisor_a_selling_tokens,Advisor A Selling Tokens,simulation_data
advisor_a_utility_tokens,Advisor A Utility Tokens,simulation_data
advisor_a_holding_tokens,Advisor A Holding Tokens,simulation_data
advisor_a_selling_from_holding_tokens,Advisor A Selling From Holding Tokens,simulation_data
advisor_a_utility_from_holding_tokens,Advisor A Utility From Holding Tokens,simulation_data
advisor_a_holding_from_holding_tokens,Advisor A Holding From Holding Tokens,simulation_data
advisor_a_actions,Advisor A Actions,simulation_data
advisor_a_current_action,Advisor A Current Action,simulation_data
strategic_partners_agents,Strategic Partners Agents,simulation_data
strategic_partners_a_name,Strategic Partners A Name,simulation_data
strategic_partners_a_type,Strategic Partners A Type,simulation_data
strategic_partners_a_usd_funds,Strategic Partners A Usd Funds,simulation_data
strategic_partners_a_tokens,Strategic Partners A Tokens,simulation_data
strategic_partners_a_tokens_vested,Strategic Partners A Tokens Vested,simulation_data
strategic_partners_a_tokens_vested_cum,Strategic Partners A Tokens Vested Cum,simulation_data
strategic_partners_a_tokens_airdropped,Strategic Partners A Tokens Airdropped,simulation_data
strategic_partners_a_tokens_airdropped_cum,Strategic Partners A Tokens Airdropped Cum,simulation_data
strategic_partners_a_tokens_incentivised,Strategic Partners A Tokens Incentivised,simulation_data
strategic_partners_a_tokens_incentivised_cum,Strategic Partners A Tokens Incentivised Cum,simulation_data
strategic_partners_a_tokens_apr_locked,Strategic Partners A Tokens Apr Locked,simulation_data
strategic_partners_a_tokens_apr_locked_cum,Strategic Partners A Tokens Apr Locked Cum,simulation_data
strategic_partners_a_tokens_apr_locked_remove,Strategic Partners A Tokens Apr Locked Remove,simulation_data
strategic_partners_a_tokens_apr_locked_rewards,Strategic Partners A Tokens Apr Locked Rewards,simulation_data
strategic_partners_a_tokens_buyback_locked,Strategic Partners A Tokens Buyback Locked,simulation_data
strategic_partners_a_tokens_buyback_locked_cum,Strategic Partners A Tokens Buyback Locked Cum,simulation_data
strategic_partners_a_tokens_buyback_locked_remove,Strategic Partners A Tokens Buyback Locked Remove,simulation_data
strategic_partners_a_tokens_buyback_locked_rewards,Strategic Partners A Tokens Buyback Locked Rewards,simulation_data
strategic_partners_a_tokens_staking_vesting_locked,Strategic Partners A Tokens Staking Vesting Locked,simulation_data
